"GEMEENTE","NIS","KBO","gemeente/stad","straat","nr","bus","postcode","gemeente2","provincie","telefoon","fax","e-mail","contactpagina","website","deelgemeenten","postcodes gemeente en deelgemeente"
"PUTTE","12029","0207499727","gemeente","Gemeenteplein","1",,"2580","Putte","Antwerpen","015 76 78 80","015 76 78 99","info@putte.be",,"http://www.putte.be","Putte, Beerzel","2580"
"PUURS","12030","0207499826","gemeente","Hoogstraat","29",,"2870","Puurs","Antwerpen","03 890 76 76","03 890 76 94 ","info@puurs.be",,"http://www.puurs.be","Puurs, Breendonk, Liezele, Ruisbroek","2870"
"RANST","11035","0207501311","gemeente","Gustaaf Peetersstraat","7",,"2520","Ranst","Antwerpen","03 485 79 69","03 234 19 61","gemeente@ranst.be",,"http://www.ranst.be","Ranst, Broechem, Emblem, Oelegem","2520"
"RAVELS","13035","0207504378","gemeente","Gemeentelaan","60",,"2381","Ravels","Antwerpen","014 65 67 04","014 65 94 68","info@ravels.be",,"http://www.ravels.be","Ravels, Weelde, Poppel","2380, 2381, 2382"
"RETIE","13036","0207504477","gemeente","Markt","1",,"2470","Retie","Antwerpen","014 38 92 30","014 37 27 36","gemeentebestuur@retie.be",,"http://www.retie.be",,"2470"
"RIEMST","73066","0207480921","gemeente","Maastrichtersteenweg","2b",,"3770","Riemst","Limburg","012 44 03 00","012 44 03 09","gemeentebestuur@riemst.be",,"http://www.riemst.be","Riemst, Genoelselderen, Herderen, Kanne, Membergen, Millen, Val-Meer, Vlijtingen, Vroenhoven, Zichen-Zussen-Bolder","3770"
"RIJKEVORSEL","13037","0207504576","gemeente","Molenstraat","5",,"2310","Rijkevorsel","Antwerpen","03 340 00 00","03 340 00 70","info@rijkevorsel.be",,"http://www.rijkevorsel.be",,"2310"
"ROESELARE","36015","0207432520","stad","Botermarkt","2",,"8800","Roeselare","West-Vlaanderen",1788,"051 26 22 29","1788@roeselare.be",,"http://www.roeselare.be","Roeselare, Beveren, Oekene, Rumbeke","8800"
"RONSE","45041","0207460432","stad","Grote Markt","12",,"9600","Ronse","Oost-Vlaanderen","055 23 27 11","055 23 27 18","info@ronse.be",,"http://www.ronse.be",,"9600"
"ROOSDAAL","23097","0207515365","gemeente","Brusselstraat","15",,"1760","Roosdaal","Vlaams-Brabant","054 89 13 00 ","054 89 13 01","info@roosdaal.be",,"http://www.roosdaal.be","Onze-Lieve-Vrouw-Lombeek, Pamel, Strijtem, Borchtlombeek","1760, 1761"
"ROTSELAAR","24094","0207524471","gemeente","Provinciebaan","20",,"3110","Rotselaar","Vlaams-Brabant","0800 94�154","016 61 63 93","info@rotselaar.be",,"http://www.rotselaar.be","Rotselaar, Wezemaal, Werchter","3110, 3111, 3118"
"RUISELEDE","37012","0207433015","gemeente","Markt","1",,"8755","Ruiselede","West-Vlaanderen","051 68 80 63","051 68 79 33","info@ruiselede.be",,"http://www.ruiselede.be",,"8755"
"RUMST","11037","0207510021","gemeente","Koningin Astridplein","12",,"2840","Rumst","Antwerpen","03 880 00 11","03 844 32 32","info@rumst.be",,"http://www.rumst.be","Rumst, Reet, Terhagen","2840"
"SCHELLE","11038","0207536547","gemeente","Fabiolalaan","55",,"2627","Schelle","Antwerpen","03 871 98 30","03 870 36 05","info@schelle.be",,"http://www.schelle.be",,"2627"
"SCHERPENHEUVEL-ZICHEM","24134","0216769462","stad","August Nihoulstraat","13-15",,"3270","Scherpenheuvel-Zichem","Vlaams-Brabant","013 35 24 00","013 35 24 07","info@scherpenheuvel-zichem.be",,"http://www.scherpenheuvel-zichem.be","Scherpenheuvel, Averbode, Zichem, Messelbroek, Testelt","3270, 3271, 3272"
"SCHILDE","11039","0207501707","gemeente","Brasschaatsebaan","30",,"2970","Schilde","Antwerpen","03 380 16 00","03 384 28 03","info@schilde.be",,"http://www.schilde.be","Schilde, 's Gravenwezel","2970"
"SCHOTEN","11040","0206677997","gemeente","Verbertstraat","3",,"2900","Schoten","Antwerpen","03 680 09 00","03 680 09 97","info@schoten.be",,"http://www.schoten.be",,"2900"
"SINT-AMANDS","12034","0207500222","gemeente","Livien Van der Looystraat","10",,"2890","Sint-Amands","Antwerpen","052 39 98 60","052 34 06 65","info@sint-amands.be",,"http://www.sint-amands.be","Sint-Amands, Lippelo, Oppuurs","2890"
"SINT-GENESIUS-RODE","23101","0207505863","gemeente","Dorpsstraat","46",,"1640","Sint-Genesius-Rode","Vlaams-Brabant","02 609 86 00","02 609 86 80","info@sint-genesius-rode.be",,"http://www.sint-genesius-rode.be",,"1640"
"SINT-GILLIS-WAAS","46020","0207464093","gemeente","Burgemeester Omer De Meyplein","1",,"9170","Sint-Gillis-Waas","Oost-Vlaanderen","03 727 17 00","03 707 03 40","info@sint-gillis-waas.be",,"http://www.sint-gillis-waas.be","Sint-Gillis-Waas, De Klinge, Meerdonk, Sint-Pauwels","9170"
"SINT-KATELIJNE-WAVER","12035","0207509724","gemeente","Lemanstraat","63",,"2860","Sint-Katelijne-Waver","Antwerpen","015 30 50 00","015 30 50 01","info@skw.be",,"http://www.sint-katelijne-waver.be","Sint-Katelijne-Waver, Onze-Lieve-Vrouw-Waver","2860, 2861"
"SINT-LAUREINS","43014","0207448851","gemeente","Dorpsstraat","91",,"9980","Sint-Laureins","Oost-Vlaanderen","09 218 76 40","09 379 07 77","gemeente@sint-laureins.be","http://www.sint-laureins.be/website/ext/forms/contacteer","http://www.sint-laureins.be","Sint-Laureins, Sint-Margriete, Sint-Jan-in-Eremo, Waterland-Oudeman, Watervliet","9980, 9981, 9982, 9988"
"SINT-LIEVENS-HOUTEM","41063","0207443012","gemeente","Marktplein","3",,"9520","Sint-Lievens-Houtem","Oost-Vlaanderen","053 60 72 20","053 62 84 14","gemeente@sint-lievens-houtem.be",,"http://www.sint-lievens-houtem.be","Sint-Lievens-Houtem, Bavegem, Oombergen, Vlierzele, Zonnegem, Letterhoutem","9520, 9521"
"SINT-MARTENS-LATEM","44064","0207542782","gemeente","Dorp","1",,"9830","Sint-Martens-Latem","Oost-Vlaanderen","09 282 17 00","09 282 17 11","gemeente@sint-martens-latem.be",,"http://www.sint-martens-latem.be","Sint-Martens-Latem, Deurle","9830, 9831"
"SINT-NIKLAAS","46021","0207464192","stad","Grote Markt","1",,"9100","Sint-Niklaas","Oost-Vlaanderen","03 778 30 00 ","03 766 08 82","info@sint-niklaas.be",,"http://www.sint-niklaas.be","Sint-Niklaas, Nieuwkerken-Waas, Belsele, Sinaai-Waas","9100, 9111, 9112"
"SINT-PIETERS-LEEUW","23077","0207513484","gemeente","Pastorijstraat","21",,"1600","Sint-Pieters-Leeuw","Vlaams-Brabant","02 371 22 11","02 377 54 87","info@sint-pieters-leeuw.be",,"http://www.sint-pieters-leeuw.be","Sint-Pieters-Leeuw, Oudenaken, Sint-Laureins-Berchem, Ruisbroek, Vlezenbeek","1600, 1601, 1602"
"SINT-TRUIDEN","71053","0207469934","stad","Kazernestraat","13",,"3800","Sint-Truiden","Limburg","011 70 14 14","011 70 14 50","info@sint-truiden.be",,"http://www.sint-truiden.be","Aalst, Brustem, Engelmanshoven, Gelinden, Groot-Gelmen, Halmaal, Kerkom-bij-Sint-Truiden, Ordingen, Zepperen, Duras, Gorsem, Runkelen, Wilderen, Velm, Sint-Truiden","3800, 3803, 3806"
"SPIERE-HELKIJN","34043","0216770650","gemeente","Oudenaardseweg","71",,"8587","Spiere-Helkijn","West-Vlaanderen","056 45 55 57","056 45 69 30","info@spiere-helkijn.be",,"http://www.spiere-helkijn.be","Spiere, Helkijn","8587"
"STABROEK","11044","0207537834","gemeente","Dorpsstraat","99",,"2940","Stabroek","Antwerpen","03 568 80 80","03 568 19 29","gemeente@stabroek.be",,"http://www.stabroek.be","Stabroek, Hoevenen","2940"
"STADEN","36019","0207488344","gemeente","Marktplaats","2",,"8840","Staden","West-Vlaanderen","051 70 82 00","051 70 42 86","info@staden.be",,"http://www.staden.be","Staden, Oostnieuwkerke, Westrozebeke","8840"
"STEENOKKERZEEL","23081","0206561993","gemeente","Orchidee�nlaan","17",,"1820","Steenokkerzeel","Vlaams-Brabant","02 254 19 00","02 254 19 02","info@steenokkerzeel.be",,"http://www.steenokkerzeel.be","Steenokkerzeel, Melsbroek, Perk","1820"
"STEKENE","46024","0207464489","gemeente","Stadionstraat","2",,"9190","Stekene","Oost-Vlaanderen","03 790 02 11","03 790 02 10","gemeente@stekene.be",,"http://www.stekene.be","Stekene, Kemzeke","9190"
"TEMSE","46025","0207464588","gemeente","Frans Boelplein","1",,"9140","Temse","Oost-Vlaanderen","03 710 12 12","03 711 01 01","gemeente@temse.be",,"http://www.temse.be","Temse, Elversele, Steendorp, Tielrode","9140"
"TERNAT","23086","0207514276","gemeente","Gemeentehuisstraat","21",,"1740","Ternat","Vlaams-Brabant","02 451 45 45","02 582 77 85","info@ternat.be",,"http://www.ternat.be","Ternat, Wambeek, Sint-Katherina-Lombeek","1740, 1741, 1742"
"TERVUREN","24104","0207525461","gemeente","Markt","7A ","2","3080","Tervuren","Vlaams-Brabant","02 766 52 01","02 766 53 96","info@tervuren.be",,"http://www.tervuren.be","Tervuren, Duisburg, Vossem","3080"
"TESSENDERLO","71057","0207470330","gemeente","Markt",,,"3980","Tessenderlo","Limburg","013 66 17 15","013 67 36 93","onthaal@tessenderlo.be",,"http://www.tessenderlo.be",,"3980"
"TIELT","37015","0207438458","stad","Markt","13",,"8700","Tielt","West-Vlaanderen","051 42 81 11","051 40 51 89","info@tielt.be",,"http://www.tielt.be","Tielt, Aarsele, Kanegem, Schuiferskapelle","8700"
"TIELT-WINGE","24135","0216769660","gemeente","Kruisstraat","2",,"3390","Tielt-Winge","Vlaams-Brabant","016 63 40 08","016 63 95 48","secretariaat@tielt-winge.be ",,"http://www.tielt-winge.be","Houwaart, Sint-Joris-Winge, Tielt, Meensel-Kiezegem","3390, 3391"
"TIENEN","24107","0207525758","stad","Grote Markt","27",,"3300","Tienen","Vlaams-Brabant","016�80�57�00","016 82 30 71","info@tienen.be",,"http://www.tienen.be","Tienen, Bost, Goetsenhoven, Hakendover, Kumtich, Oorbeek, Oplinter, Sint-Margriete-Houtem, Vissenaken","3300"
"TONGEREN","73083","0207067482","stad","Maastrichterstraat","10",,"3700","Tongeren","Limburg","012 80 00 00","012 80 02 10","info@stadtongeren.be",,"http://www.tongeren.be","Tongeren, 's Herenelderen, Berg, Diets-Heur, Haren, Henis, Kolmont, Koniksem, Lauw, Mal, Neerrepen, Nerem, Overrepen, Piringen, Riksingen, Rutten, Sluizen, Vreren, Widooie","3700"
"TORHOUT","31033","0207530609","stad","Aartrijkestraat","11","B","8820","Torhout","West-Vlaanderen","050 22 11 22","050 22 05 80","info@torhout.be",,"http://www.torhout.be",,"8820"
"TREMELO","24109","0207525956","gemeente","Veldonkstraat","1",,"3120","Tremelo","Vlaams-Brabant","016 53 16 66","016 52 54 09","info@tremelo.be",,"http://www.tremelo.be","Tremelo, Baal","3120, 3128"
"TURNHOUT","13040","0207533082","stad","Campus Blairon","200",,"2300","Turnhout","Antwerpen","014 44 33 11","014 43 92 75","stad@turnhout.be",,"http://www.turnhout.be",,"2300"
"VEURNE","38025","0207494579","stad","Sint-Denisplaats","16",,"8630","Veurne","West-Vlaanderen","058 33 55 00","058 33 55 19","stadsbestuur@veurne.be",,"http://www.veurne.be","Veurne, Avekapelle, Booitshoeke, Bulskamp, De Moeren, Eggewaartskapelle, Houtem, Steenkerke, Vinkem, Wulveringem, Zoutenaaie","8630"
"VILVOORDE","23088","0207514474","stad","Grote Markt",,,"1800","Vilvoorde","Vlaams-Brabant","02 255 45 11","02 255 47 80","info@vilvoorde.be","http://www.vilvoorde.be/Dienstverlening_Meldingen/default.aspx","http://www.vilvoorde.be","Vilvoorde, Peutie","1800"
"VLETEREN","33041","0216770452","gemeente","Kasteelstraat","39",,"8640","Vleteren","West-Vlaanderen","057 40 00 99","057 40 13 66","info@vleteren.be",,"http://www.vleteren.be","Oostvleteren, Westvleteren, Woesten","8640"
"VOEREN","73109","0216773422","gemeente","Gemeenteplein","1",,"3798","Voeren","Limburg","04 381 99 40","04 381 22 27","info@devoor.be",,"http://www.voeren.be","Moelingen, Sint-Martens-Voeren, Remersdaal, Sint-Pieters-Voeren, Teuven, 's Gravenvoeren","3790, 3791, 3792, 3793, 3798"
"VORSELAAR","13044","0207215160","gemeente","Markt","14",,"2290","Vorselaar","Antwerpen","014 50 11 01","014 51 10 05","info@vorselaar.be",,"http://www.vorselaar.be",,"2290"
"VOSSELAAR","13046","0207534765","gemeente","Cingel","7",,"2350","Vosselaar","Antwerpen","014 60 08 20","014 61 54 21","gemeente@vosselaar.be",,"http://www.vosselaar.be",,"2350"
"WAARSCHOOT","44072","0207455977","gemeente","Dorp","1",,"9950","Waarschoot","Oost-Vlaanderen","09 250 59 00","09 250 59 55","info@waarschoot.be",,"http://www.waarschoot.be",,"9950"
"WAASMUNSTER","42023","0207447069","gemeente","Vierschaar","1",,"9250","Waasmunster","Oost-Vlaanderen","052 46 00 11","052 46 10 36","informatie@waasmunster.be",,"http://www.waasmunster.be",,"9250"
"WACHTEBEKE","44073","0207456076","gemeente","Dorp","61",,"9185","Wachtebeke","Oost-Vlaanderen","09 345 01 35","09 342 93 02","info@wachtebeke.be",,"http://www.wachtebeke.be",,"9185"
"WAREGEM","34040","0207433708","stad","Gemeenteplein","2",,"8790","Waregem","West-Vlaanderen","056 62 12 11","056 62 12 23","secretariaat@waregem.be",,"http://www.waregem.be","Waregem, Beveren, Desselgem, Sint-Eloois-Vijve","8790, 8791, 8792, 8793"
"WELLEN","73098","0207483691","gemeente","Dorpsstraat","25",,"3830","Wellen","Limburg","012 67 07 00","012 74 58 70","info@wellen.be",,"http://www.wellen.be","Wellen, Berlingen, Herten, Ulbeek","3830, 3831, 3832"
"WEMMEL","23102","0207533379","gemeente","Dr. H. Folletlaan ",28,,"1780","Wemmel","Vlaams-Brabant","02 462 05 00","02 462 05 79","info@wemmel.be",,"http://www.wemmel.be",,"1780"
"WERVIK","33029","0207493391","stad","Sint-Maartensplein","16",,"8940","Wervik","West-Vlaanderen","056 30 01 01","056 95 21 49","info@wervik.be",,"http://www.wervik.be","Wervik, Geluwe","8940"
"WESTERLO","13049","0207505566","gemeente","Boerenkrijglaan","61",,"2260","Westerlo","Antwerpen","014 54 75 75","014 54 11 54","info@westerlo.be",,"http://www.westerlo.be","Westerlo, Oevel, Tongerlo, Zoerle-Parwijs","2260"
"WETTEREN","42025","0207447366","gemeente","Markt","1",,"9230","Wetteren","Oost-Vlaanderen","09 369 00 50","09 366 67 22","wetteren@wetteren.be",,"http://www.wetteren.be","Wetteren, Massemen, Westrem","9230"
"WEVELGEM","34041","0207488641","gemeente","Vanackerestraat","16",,"8560","Wevelgem","West-Vlaanderen","056 43 34 00","056 43 34 01","info@wevelgem.be",,"http://www.wevelgem.be","Wevelgem, Gullegem, Moorsele","8560"
"WEZEMBEEK-OPPEM","23103","0207506061","gemeente","Louis Marcelisstraat","134",,"1970","Wezembeek-Oppem","Vlaams-Brabant","02 783 12 11","02 731 06 72","info@wezembeek-oppem.be",,"http://www.wezembeek-oppem.be",,"1970"
"WICHELEN","42026","0207447465","gemeente","Oud Dorp","2",,"9260","Wichelen","Oost-Vlaanderen","052 43 24 00","052 42 64 16","gemeentebestuur@wichelen.be",,"http://www.wichelen.be","Wichelen, Schellebelle, Serskamp","9260"
"WIELSBEKE","37017","0207437864","gemeente","Rijksweg","314",,"8710","Wielsbeke","West-Vlaanderen","056 67 32 00","056 67 32 49","info@wielsbeke.be",,"http://www.wielsbeke.be","Wielsbeke, Ooigem, Sint-Baafs-Vijve","8710"
"WIJNEGEM","11050","0207533775","gemeente","Turnhoutsebaan","422",,"2110","Wijnegem","Antwerpen","03 288 21 10","03 288 21 29","gemeente@wijnegem.be",,"http://www.wijnegem.be",,"2110"
"WILLEBROEK","12040","0207501113","gemeente","Pastorijstraat","1",,"2830","Willebroek","Antwerpen","0800 92 830","03 886 16 32","info@willebroek.be",,"http://www.willebroek.be","Willebroek, Blaasveld, Heindonk, Tisselt","2830"
"WINGENE","37018","0207495470","gemeente","Oude Bruggestraat","13",,"8750","Wingene","West-Vlaanderen","051 65 00 60","051 65 70 78","info@wingene.be",,"http://www.wingene.be","Wingene, Zwevezele","8750"
"WOMMELGEM","11052","0207535161","gemeente","Kaakstraat","2",,"2160","Wommelgem","Antwerpen","03 355 12 50","03 353 40 26","info@wommelgem.be",,"http://www.wommelgem.be",,"2160"
"WORTEGEM-PETEGEM","45061","0207689965","gemeente","Waregemseweg","35",,"9790","Wortegem-Petegem","Oost-Vlaanderen","056 68 81 14","056 68 04 97","gemeente@wortegem-petegem.be","http://www.wortegem-petegem.be/node/97","http://www.wortegem-petegem.be","Elsegem, Moregem, Ooike, Petegem-aan-de-Schelde, Wortegem","9790"
"WUUSTWEZEL","11053","0207537735","gemeente","Gemeentepark","1",,"2990","Wuustwezel","Antwerpen","03 690 46 00","03 690 46 02","gemeente@wuustwezel.be",,"http://www.wuustwezel.be","Wuustwezel, Loenhout","2990"
"ZANDHOVEN","11054","0207539220","gemeente","Liersebaan","12",,"2240","Zandhoven","Antwerpen","03 484 30 20","03 484 62 55","info@zandhoven.be",,"http://www.zandhoven.be","Zandhoven, Massenhoven, Pulderbos, Pulle, Viersel","2240, 2242, 2243"
"ZAVENTEM","23094","0207515068","gemeente","Stationsstraat","8",,"1930","Zaventem","Vlaams-Brabant","02 720 35 50","02 717 88 39","info@zaventem.be",,"http://www.zaventem.be","Zaventem, Nossegem, Sint-Stevens-Woluwe, Sterrebeek","1930, 1932, 1933"
"ZEDELGEM","31040","0207531302","gemeente","Snellegemsestraat","1",,"8210","Zedelgem","West-Vlaanderen","050 28 83 30","050 20 82 28","info@zedelgem.be",,"http://www.zedelgem.be","Zedelgem, Loppem, Veldegem, Aartrijke","8210, 8211"
"ZELE","42028","0207447663","gemeente","Markt","50",,"9240","Zele","Oost-Vlaanderen","052 45 98 10","052 45 98 18","info@zele.be",,"http://www.zele.be",,"9240"
"ZELZATE","43018","0207449346","gemeente","Grote Markt","1",,"9060","Zelzate","Oost-Vlaanderen","09 342 20 20","09 342 20 21","onthaal@zelzate.be",,"http://www.zelzate.be",,"9060"
"ZEMST","23096","0207515266","gemeente","De Griet","1",,"1980","Zemst","Vlaams-Brabant","015 61 88 90","015 62 71 77","info@zemst.be",,"http://www.zemst.be","Zemst, Eppegem, Hofstade, Elewijt, Weerde","1980, 1981, 1982"
"ZINGEM","45057","0207461917","gemeente","Alfred Amelotstraat","53",,"9750","Zingem","Oost-Vlaanderen","09 389 01 00","09 389 01 49","info@zingem.be",,"http://www.zingem.be","Zingem, Huise, Ouwegem","9750"
"ZOERSEL","11055","0207499133","gemeente","Handelslei","167",,"2980","Zoersel","Antwerpen","03 298 00 00","03 298 09 00","gemeente@zoersel.be",,"http://www.zoersel.be","Zoersel, Halle","2980"
"ZOMERGEM","44080","0207456769","gemeente","Markt","1",,"9930","Zomergem","Oost-Vlaanderen","09 370 75 75","09 370 75 71","gemeente@zomergem.be",,"http://www.zomergem.be","Zomergem, Oostwinkel, Ronsele","9930, 9931, 9932"
"ZONHOVEN","71066","0207471221","gemeente","Kerkplein","1",,"3520","Zonhoven","Limburg","011 81 04 11","011 81 81 24","info@zonhoven.be",,"http://www.zonhoven.be",,"3520"
"ZONNEBEKE","33037","0207432124","gemeente","Langemarkstraat","8",,"8980","Zonnebeke","West-Vlaanderen","051 48 00 60","051 78 07 40","info@zonnebeke.be",,"http://www.zonnebeke.be","Zonnebeke, Beselare, Geluveld, Passendale, Zandvoorde","8980"
"ZOTTEGEM","41081","0207444990","stad","Gustaaf Schockaertstraat","7",,"9620","Zottegem","Oost-Vlaanderen","09 364 65 00","09 364 64 71","info@zottegem.be",,"http://www.zottegem.be","Zottegem, Elene, Erwertegem, Godveerdegem, Grotenberge, Leeuwergem, Oombergen, Sint-Goriks-Oudenhove, Sint-Maria-Oudenhove, Strijpen, Velzeke-Ruddershove","9620"
"ZOUTLEEUW","24130","0207527540","stad","Vincent Betsstraat","15",,"3440","Zoutleeuw","Vlaams-Brabant","011 78 91 70","011 78 42 22","info@zoutleeuw.be",,"http://www.zoutleeuw.be","Zoutleeuw, Budingen, Dormaal, Halle-Booienhoven, Helen-Bos","3440"
"ZUIENKERKE","31042","0207531597","gemeente","Kerkstraat","17",,"8377","Zuienkerke","West-Vlaanderen","050 43 20 50","050 43 20 59","secretaris@zuienkerke.be","www.zuienkerke.be","http://www.zuienkerke.be","Zuienkerke, Houtave, Meetkerke, Nieuwmunster","8377"
"ZULTE","44081","0207456868","gemeente","Centrumstraat","8",,"9870","Zulte","Oost-Vlaanderen","09 243 14 00","09 243 14 01","info@zulte.be","http://www.zulte.be/website/ext/forms/melding","http://www.zulte.be","Zulte, Machelen, Olsene","9870"
"ZUTENDAAL","71067","0207471320","gemeente","Oosterzonneplein","1",,"3690","Zutendaal","Limburg","089 62 94 20","089 62 94 30","informatie@zutendaal.be",,"http://www.zutendaal.be",,"3690"
"ZWALM","45065","0216772036","gemeente","Zuidlaan","36",,"9630","Zwalm","Oost-Vlaanderen","055 49 91 91","055 48 05 99","info@zwalm.be",,"http://www.zwalm.be","Beerlegem, Dikkele, Hundelgem, Meilegem, Munkzwalm, Paulatem, Roborst, Rozebeke, Sint-Blasius-Boekel, Sint-Denijs-Boekel, Sint-Maria-Latem, Nederzwalm-Hermelgem","9630, 9636"
"ZWEVEGEM","34042","0207484582","gemeente","Blokkestraat","29","1","8550","Zwevegem","West-Vlaanderen","056 76 55 67","056 76 55 68","info@zwevegem.be",,"http://www.zwevegem.be","Zwevegem, Heestert, Moen, Otegem, Sint-Denijs","8550, 8551, 8552, 8553, 8554"
"ZWIJNDRECHT","11056","0207499232","gemeente","Binnenplein","1",,"2070","Zwijndrecht","Antwerpen","03 250 48 00","03 250 48 09","info@zwijndrecht.be",,"http://www.zwijndrecht.be","Zwijndrecht, Burcht","2070"
